# q qerr q^{ 0.25 }*I(q) q^{ 0.25 }*I(q)err
5.674929039305736831e-04 2.844972107948976880e-04 2.323314782566991141e+02 1.310641997425788986e+03
1.148899370130779425e-03 1.593506736090453848e-04 4.373084829022187705e+02 9.797595580889561688e+02
1.690528571858088179e-03 1.607778195237353277e-04 5.774103605803597929e+02 1.215224777256972857e+03
2.241866674943214510e-03 1.624380793292098057e-04 4.420937180118894503e+02 1.212611695886197367e+03
2.823089956553034678e-03 1.787958159578247833e-04 5.700780760296865992e+02 1.149508757217669199e+03
3.397691792008107527e-03 1.654200107260591994e-04 4.077229787534625984e+02 1.614999438925063259e+03
3.955905906185787878e-03 1.581242633162599563e-04 7.084889343066182619e+02 2.313378447236001648e+03
4.519315497203105388e-03 1.683468328344326747e-04 7.863400590417647891e+02 4.509919580528832739e+03
5.094624480167554877e-03 1.662435421534576264e-04 8.247059275495087149e+02 3.394677357888104780e+03
5.671667658710049208e-03 1.752760759842015225e-04 7.621174141612871153e+02 2.639664531963975605e+03
6.229435306002196852e-03 1.566941657328803285e-04 7.920778089045359138e+02 2.518079825043480469e+03
6.818425326918784932e-03 1.698659042947616045e-04 8.755879435893796199e+02 3.392950491629275803e+03
7.392546870843330446e-03 1.666475300425771769e-04 9.972485009085706906e+02 3.636700634899234046e+03
7.958735922135976720e-03 1.616219573196543788e-04 1.108607108046554686e+03 3.134224628310813841e+03
8.523351536763364850e-03 1.651414567132583546e-04 9.271238614155665800e+02 2.756877655526505805e+03
9.082177839432660840e-03 1.612368320144011544e-04 9.724810077027188981e+02 2.435247872132117209e+03
9.653289543242585258e-03 1.734477465576669993e-04 1.169374907598286200e+03 2.468983298753519193e+03
1.022632910579091697e-02 1.656498643276444491e-04 1.086624162762912420e+03 2.185812383899018187e+03
1.079378886745451134e-02 1.666241285096857038e-04 1.055328201502432194e+03 2.426265168301764788e+03
1.136322232886073993e-02 1.657395509400995924e-04 1.071001177914160053e+03 2.189343139515646271e+03
1.192487803400927096e-02 1.598068237739880368e-04 1.146739688274900800e+03 2.663266957031532911e+03
1.250107846052310803e-02 1.758130933935119508e-04 1.044904560194890337e+03 2.310275456372492044e+03
1.308013446480046395e-02 1.632003798560462853e-04 1.021819365746645872e+03 2.572369425971602141e+03
1.364529727767590378e-02 1.636500483111470142e-04 1.267921086708590792e+03 2.630489863510293617e+03
1.420711257824900688e-02 1.632274629034310010e-04 1.339571329098112528e+03 2.655596546950337142e+03
1.477622771744476447e-02 1.660652488222497678e-04 1.101892845646934347e+03 2.582012635390785363e+03
1.535205590902211266e-02 1.691173193363761497e-04 1.106912686406187731e+03 2.292986956946642749e+03
1.592141408496132449e-02 1.606268769112478021e-04 1.116646391299010702e+03 2.140940611841314876e+03
1.648727759634203288e-02 1.683231996598719767e-04 1.142732324837396391e+03 2.313854788731099234e+03
1.705712208282728418e-02 1.663414770258688099e-04 1.015624063506683910e+03 2.502369795528386931e+03
1.763195912570766563e-02 1.635018512689289153e-04 1.069418807573533059e+03 2.001693689762876147e+03
