# angle I
-1.786910903472134180e+02 2.960000000000000000e+02
-1.786482970582799794e+02 2.890800000000000182e+03
-1.780390600009840227e+02 2.492000000000000000e+03
-1.774231448826074313e+02 2.429333333333333485e+03
-1.768078257152316155e+02 2.484000000000000000e+03
-1.761932434705774995e+02 2.499166666666666515e+03
-1.755795381028748636e+02 2.486333333333333485e+03
-1.750211376233734484e+02 2.045250000000000000e+03
-1.746108290313409839e+02 2.766199999999999818e+03
-1.741099416258988128e+02 2.424800000000000182e+03
-1.736063165289688186e+02 2.173800000000000182e+03
-1.730622338711060593e+02 2.892166666666666515e+03
-1.724880520654132852e+02 2.509000000000000000e+03
-1.719233829920937069e+02 2.488166666666666515e+03
-1.714076254248937232e+02 2.196500000000000000e+03
-1.708901837091099196e+02 2.514833333333333485e+03
-1.703280495761343047e+02 2.539428571428571558e+03
-1.697693540610247283e+02 2.811500000000000000e+03
-1.691862383147264950e+02 2.272375000000000000e+03
-1.686514128665233159e+02 2.760833333333333485e+03
-1.681737014441648057e+02 2.428714285714285779e+03
-1.676564777458656863e+02 2.183857142857142662e+03
-1.671374657952915470e+02 2.166571428571428442e+03
-1.665808575778916065e+02 2.411750000000000000e+03
-1.659665607046729292e+02 2.496000000000000000e+03
-1.654383058927751051e+02 2.408142857142857338e+03
-1.649583258419969809e+02 2.666375000000000000e+03
-1.644409789980402365e+02 2.765875000000000000e+03
-1.638895079311938900e+02 2.561555555555555657e+03
-1.633237084235085774e+02 2.445888888888888687e+03
-1.628048919491540971e+02 2.523000000000000000e+03
-1.622951454132556250e+02 2.541111111111111313e+03
-1.617487038802009920e+02 2.726199999999999818e+03
-1.611775766045147407e+02 2.601636363636363512e+03
-1.606110612319730251e+02 2.615727272727272521e+03
-1.600744319417465817e+02 2.519500000000000000e+03
-1.595421404879537306e+02 2.612545454545454504e+03
-1.589992088297497048e+02 2.527500000000000000e+03
-1.584961698586157866e+02 2.440099999999999909e+03
-1.579466703373796292e+02 2.605500000000000000e+03
-1.573787892898955079e+02 2.677538461538461434e+03
-1.568576188765657378e+02 2.553416666666666515e+03
-1.563379096651518978e+02 2.686538461538461434e+03
-1.557766240474791744e+02 2.798266666666666879e+03
-1.552232927577396424e+02 2.655928571428571558e+03
-1.546612645830451243e+02 2.664875000000000000e+03
-1.541103490254910753e+02 2.554199999999999818e+03
-1.535869172444571689e+02 2.520533333333333303e+03
-1.530565575451102518e+02 2.531000000000000000e+03
-1.525396040705058454e+02 2.528500000000000000e+03
-1.519991463952629829e+02 2.528777777777777828e+03
-1.514491104667885679e+02 2.590777777777777828e+03
-1.509156498914970541e+02 2.531388888888888687e+03
-1.503732906175760888e+02 2.782315789473684163e+03
-1.498481402326335683e+02 2.464578947368421268e+03
-1.492981448067085921e+02 2.490954545454545496e+03
-1.487466167676970485e+02 2.346904761904761926e+03
