# angle I
-5.628473969364905827e+01 5.485628742514970213e+01
-5.472254874436011107e+01 4.878106508875739422e+01
-5.316656632031884300e+01 4.286826347305389362e+01
-5.159532908659068795e+01 3.341764705882352615e+01
-5.002828898396148105e+01 3.309523809523809490e+01
-4.847100233343763165e+01 2.751204819277108271e+01
-4.691977592367075545e+01 2.483431952662721898e+01
-4.535562575371998406e+01 2.099401197604790426e+01
-4.379126391183604028e+01 2.271005917159763143e+01
-4.222498470327450804e+01 2.170175438596491091e+01
-4.065053219630852510e+01 1.976785714285714235e+01
-3.909340805180009681e+01 1.955688622754491135e+01
-3.752661007579196450e+01 2.039999999999999858e+01
-3.595889848154855173e+01 2.100591715976331386e+01
-3.441731328483018615e+01 1.890243902439024382e+01
-3.284992349017441882e+01 2.273255813953488413e+01
-3.127431951511397301e+01 2.007784431137724468e+01
-2.971293236928026360e+01 1.899408284023668614e+01
-2.814976440307819061e+01 2.586826347305389362e+01
-2.658088850281737692e+01 2.267664670658682624e+01
-2.502084180276230185e+01 1.877647058823529491e+01
-2.345264566862991273e+01 2.706586826347305319e+01
-2.189473599476423260e+01 2.627976190476190510e+01
-2.033050143767872697e+01 2.175000000000000000e+01
-1.875994644718087656e+01 2.815294117647058769e+01
-1.719994383260414850e+01 2.291071428571428470e+01
-1.563744313520076723e+01 1.664880952380952550e+01
-1.407681639954675212e+01 2.694642857142857295e+01
-1.251740153587890525e+01 2.270658682634730496e+01
-1.095366510422459960e+01 3.144970414201183573e+01
-9.382708488299098093e+00 2.516666666666666785e+01
-7.821144308543519053e+00 3.412500000000000000e+01
-6.260116677964818521e+00 2.934523809523809490e+01
-4.691162962840114581e+00 3.544642857142856940e+01
-3.133359278331619091e+00 2.110059171597633210e+01
1.575909038804210738e+00 2.469461077844311347e+01
3.129554391188448470e+00 3.131547619047618980e+01
4.692001028500418336e+00 2.551764705882353113e+01
6.254244095123811853e+00 2.929518072289156549e+01
7.813766244137406503e+00 2.128402366863905470e+01
9.379311814857997476e+00 2.598816568047337228e+01
1.094966182856752823e+01 2.407100591715976279e+01
1.250996920947287627e+01 3.249700598802395035e+01
1.406932857017203986e+01 1.567455621301775182e+01
1.564414137600236643e+01 3.685798816568047442e+01
1.720569607344817342e+01 1.713772455089820212e+01
1.875916786314940055e+01 3.018343195266272261e+01
2.032985517548494769e+01 2.522023809523809490e+01
2.189271228249628010e+01 3.065680473372781023e+01
2.346303452841555526e+01 2.483928571428571530e+01
2.502402282675832623e+01 3.380239520958083688e+01
2.659396935040148335e+01 2.640350877192982537e+01
2.815322424477399821e+01 3.427976190476190510e+01
2.971475155498597687e+01 3.033532934131736525e+01
3.127502666243704255e+01 3.637500000000000000e+01
3.284145869163951659e+01 2.501775147928994159e+01
3.441367139624651372e+01 2.332335329341317376e+01
3.596428347817478510e+01 3.141071428571428470e+01
3.753317904955828510e+01 2.588165680473372632e+01
3.909367673271596999e+01 3.269461077844311347e+01
4.066039271402504340e+01 1.901764705882353113e+01
4.222234448665578554e+01 3.701197604790419149e+01
4.377035360937887276e+01 3.172891566265060348e+01
4.536032614998154600e+01 3.875294117647058556e+01
4.691277318768553783e+01 8.867455621301775182e+01
4.848146403974269703e+01 4.199408284023668614e+01
5.003647972487514295e+01 1.123832335329341277e+02
5.160347203381139281e+01 4.724260355029586123e+01
5.316315128691128677e+01 4.811377245508982270e+01
5.472332007417934108e+01 1.227705882352941131e+02
5.629202663376684512e+01 4.029166666666666430e+01
5.785772548732079201e+01 1.203333333333333286e+02
5.942307074376781628e+01 6.862130177514792706e+01
6.099059617266316025e+01 1.581250000000000000e+02
6.258632915692736987e+01 1.565284090909090935e+02
6.415027077354190510e+01 1.708562499999999886e+02
6.567692178442177919e+01 1.669642857142857224e+02
6.724107109570041985e+01 9.922023809523810201e+01
6.880474200891299574e+01 8.401183431952662772e+01
7.036506733375775013e+01 8.742771084337348952e+01
7.192026476717558126e+01 1.173176470588235247e+02
7.348939045496211975e+01 1.376863905325443795e+02
7.505705489368838812e+01 1.432797619047618980e+02
7.662624207136212817e+01 2.129583333333333428e+02
7.818699254174778446e+01 2.559047619047618980e+02
7.973091857605054145e+01 3.755090909090909008e+02
8.130293310822946751e+01 3.178604651162790447e+02
8.287906454348883756e+01 1.549226190476190368e+02
8.445536567817804041e+01 8.108187134502924209e+01
8.601827788977053046e+01 5.382256097560975832e+02
8.756089342258449904e+01 8.694235294117646617e+02
9.227299733650285418e+01 6.040705882352941671e+02
9.382890289933233419e+01 4.701017964071856454e+02
9.539789680422805418e+01 2.133254437869822482e+02
9.695924779566482243e+01 3.117125748502994043e+02
9.851355382263552940e+01 2.151964285714285836e+02
1.000801953164286715e+02 2.664642857142857224e+02
1.016430786261110626e+02 1.077857142857142918e+02
1.032079985444083547e+02 1.834911242603550363e+02
1.047708284996190429e+02 1.553491124260355036e+02
1.063483389651012487e+02 1.719112426035503063e+02
1.078992599932108902e+02 2.063939393939394051e+02
1.094569187351840753e+02 2.243529411764705799e+02
1.110109318910136835e+02 8.809090909090909349e+01
1.125791168909011759e+02 8.943274853801169400e+01
1.141619646793685376e+02 6.886982248520709504e+01
1.156491805633571488e+02 6.992000000000000171e+01
1.171991410558963480e+02 7.995238095238094900e+01
1.188509116033989983e+02 6.098192771084337238e+01
1.204034310216861172e+02 7.264670658682634041e+01
1.219674760965583857e+02 7.285798816568046732e+01
1.235350071533048322e+02 5.857142857142856940e+01
1.250952372296085429e+02 5.687500000000000000e+01
1.266652158316523469e+02 4.937278106508875908e+01
1.282260241848688054e+02 4.399404761904762040e+01
1.297793704248153119e+02 4.321084337349397941e+01
1.313297141688450154e+02 3.686390532544378829e+01
1.329106127856845205e+02 2.997076023391812782e+01
1.344364727991884934e+02 2.995625000000000071e+01
1.360279588550860979e+02 2.506896551724138078e+01
1.376179590298299047e+02 2.408875739644970437e+01
1.391784347571399962e+02 2.229341317365269504e+01
1.407359224464586305e+02 2.225443786982248540e+01
1.422849304439035905e+02 2.230674846625766961e+01
1.438361613382523672e+02 2.354335260115606943e+01
1.454423745594564821e+02 1.953757225433525946e+01
1.470165623050403667e+02 2.006097560975609895e+01
1.485607757256962032e+02 2.267455621301775182e+01
1.501208239718654909e+02 2.406626506024096557e+01
1.516813866782582068e+02 2.258641975308642103e+01
1.532368630795972422e+02 2.300000000000000000e+01
1.548147022097037109e+02 2.517647058823529349e+01
1.563839691827697891e+02 2.300000000000000000e+01
1.579435613083280145e+02 2.525000000000000000e+01
1.594975906729676467e+02 2.784615384615384670e+01
1.610693346797363574e+02 2.247887323943661997e+01
1.626287027393744040e+02 2.674264705882352899e+01
1.641930360399894084e+02 2.472992700729927051e+01
1.657651302270274130e+02 2.534586466165413654e+01
1.673081967729918063e+02 2.998461538461538467e+01
1.688685873673462936e+02 2.876335877862595325e+01
1.704398215208125009e+02 2.263846153846153797e+01
1.720106749904717276e+02 2.921875000000000000e+01
1.735723172050012408e+02 2.640944881889763707e+01
1.751584320606908136e+02 2.793846153846153868e+01
1.767217642317455670e+02 2.651639344262295239e+01
1.782619428167683679e+02 3.073015873015873112e+01
