# angle I
-8.757543736384737088e+01 3.896529411764705856e+03
-8.701839794565819375e+01 2.689205882352940989e+03
-8.645902527271539384e+01 2.374500000000000000e+03
-8.590656406590944982e+01 4.239878787878787989e+03
-8.536199335933508792e+01 4.442151515151515014e+03
-8.483684610053943231e+01 1.192935483870967801e+03
-8.430220681100951197e+01 3.436138888888888687e+03
-8.374714569690247856e+01 3.489382352941176578e+03
-8.320713392642340978e+01 2.475411764705882433e+03
-8.265051205758149422e+01 2.682742857142857247e+03
-8.209289722399658729e+01 2.312000000000000000e+03
-8.156110534546135682e+01 1.994812500000000000e+03
-8.103248854678116686e+01 2.387030303030303003e+03
-8.048958835846710258e+01 3.620411764705882433e+03
-7.994037683696595309e+01 3.895352941176470722e+03
-7.938790484376876577e+01 3.502058823529411711e+03
-7.882846970990917157e+01 3.256342857142857156e+03
-7.828540796420477932e+01 3.173031250000000000e+03
-7.777166297474020951e+01 2.793875000000000000e+03
-7.723278063713513575e+01 2.408257142857142753e+03
-7.667697816069787109e+01 2.512545454545454504e+03
-7.614073353351164997e+01 2.374558823529411711e+03
-7.558750414108561699e+01 2.824971428571428532e+03
-7.504125501761889439e+01 2.990303030303030482e+03
-7.449987811865821641e+01 3.053242424242424022e+03
-7.396046052041732821e+01 2.794941176470588289e+03
-7.340933910862496248e+01 3.157352941176470722e+03
-7.286259178935802083e+01 3.230454545454545496e+03
-7.232892630935846512e+01 2.719575757575757507e+03
-7.181480555173510538e+01 2.897774193548387302e+03
-7.125461151108432034e+01 2.811648648648648759e+03
-7.068684113995914231e+01 2.730441176470588289e+03
-7.014452173846355265e+01 2.686606060606060510e+03
-6.960865020510675549e+01 2.836294117647059011e+03
-6.905828155729079754e+01 2.766382352941176578e+03
-6.852644067015832263e+01 2.738967741935483900e+03
-6.798423797974321303e+01 3.216666666666666515e+03
-6.742823623087345197e+01 2.950151515151515014e+03
-6.688643194984385332e+01 2.946911764705882433e+03
-6.634978163324005607e+01 3.160093750000000000e+03
-6.580993667381197554e+01 2.972171428571428351e+03
-6.525055043555400403e+01 3.068454545454545496e+03
-6.470270083562321872e+01 3.044470588235294144e+03
-6.415502017045176331e+01 3.040911764705882433e+03
-6.360289639433297282e+01 3.063142857142857338e+03
-6.306548082160837509e+01 2.953400000000000091e+03
-6.253677389237563489e+01 3.288444444444444343e+03
-6.197719753573601054e+01 3.113909090909090992e+03
-6.144785262826910355e+01 3.159187500000000000e+03
-6.090473802273093895e+01 2.516500000000000000e+03
-6.036758815402590983e+01 2.401696969696969518e+03
-5.982291504010929373e+01 2.296882352941176578e+03
-5.928616963488754976e+01 2.280625000000000000e+03
-5.874079944482340920e+01 1.960027777777777828e+03
-5.818204982591414876e+01 1.827636363636363740e+03
-5.764517253229828952e+01 1.685060606060606005e+03
-5.709783244143017100e+01 1.546882352941176578e+03
-5.658200440619927463e+01 1.490645161290322676e+03
-5.604259258781220154e+01 1.198914285714285825e+03
-5.546851179976668789e+01 9.153142857142856883e+02
-5.492315717032514044e+01 9.210000000000000000e+02
-5.438337886193963300e+01 9.103235294117647527e+02
-5.383751855317147772e+01 1.215545454545454504e+03
