# angle I
-1.785483117201012533e+02 4.849624060150375726e+00
-1.769421716554466855e+02 4.591999999999999638e+00
-1.753878855817230260e+02 5.920634920634920917e+00
-1.738149984862944848e+02 5.664062500000000000e+00
-1.722555026819219108e+02 8.779527559055118502e+00
-1.706898719549393775e+02 5.738461538461538503e+00
-1.691120080505655210e+02 8.900763358778625900e+00
-1.675402941324991559e+02 5.303030303030302761e+00
-1.659730049726072139e+02 8.383458646616540832e+00
-1.644213968482099233e+02 3.320895522388059629e+00
-1.628549819847739286e+02 7.733812949640287648e+00
-1.612779514825442106e+02 6.514285714285714235e+00
-1.597159174692260137e+02 5.958041958041958353e+00
-1.581515347354173855e+02 5.248275862068965125e+00
-1.565890020442204786e+02 6.866666666666666252e+00
-1.550259784236727683e+02 5.210526315789473450e+00
-1.534594014636274437e+02 6.424999999999999822e+00
-1.518844031435562556e+02 5.893749999999999822e+00
-1.503296464014289029e+02 5.260606060606060730e+00
-1.487800918826317513e+02 6.723529411764705976e+00
-1.472123748459040087e+02 6.337142857142857189e+00
-1.456357668863002743e+02 6.901734104046242990e+00
-1.440598319622758083e+02 7.109195402298850830e+00
-1.424904490262693457e+02 5.216374269005847886e+00
-1.409203748980116018e+02 7.497142857142857331e+00
-1.393613333023012899e+02 8.710059171597633210e+00
-1.378036005841072154e+02 5.208092485549133066e+00
-1.362145507177179979e+02 5.553072625698323606e+00
-1.346653846578406615e+02 6.148809523809523725e+00
-1.330980484712639509e+02 8.052023121387282600e+00
-1.315397215913517641e+02 7.105263157894737169e+00
-1.299710934933826820e+02 8.011560693641618158e+00
-1.284025842366597772e+02 8.994219653179190033e+00
-1.268437727236312185e+02 7.282352941176470473e+00
-1.252816937610655401e+02 9.327586206896551602e+00
-1.237066907477072135e+02 9.389534883720930480e+00
-1.221413853969826846e+02 1.002298850574712574e+01
-1.205755680275383526e+02 1.374705882352941089e+01
-1.190144348047764140e+02 1.108045977011494188e+01
-1.174324709074484048e+02 1.806250000000000000e+01
-1.158513312150960815e+02 2.982142857142857295e+01
-1.143173895410272252e+02 3.791329479768786115e+01
-1.127446985672936677e+02 3.528323699421965642e+01
